,customerid,quantity,unitprice,cluster
0,12346.0,0,1.04,0
1,12347.0,2458,2.644010989010989,0
2,12348.0,2341,5.764838709677419,0
3,12349.0,631,8.289041095890411,0
4,12350.0,197,3.841176470588235,0
5,12352.0,470,23.274736842105263,0
6,12353.0,20,6.074999999999999,0
7,12354.0,530,4.5037931034482765,0
8,12355.0,240,4.203846153846154,0
9,12356.0,1591,3.201186440677966,0
10,12357.0,2708,3.3486259541984733,0
11,12358.0,248,8.27421052631579,0
12,12359.0,1612,8.760275590551181,0
13,12360.0,1165,3.5496899224806198,0
14,12361.0,91,3.335,0
15,12362.0,2212,3.9536131386861313,0
16,12363.0,408,2.3117391304347827,0
17,12364.0,1506,1.910235294117647,0
18,12365.0,173,30.347826086956523,0
19,12367.0,173,3.2,0
20,12370.0,2353,2.800299401197605,0
21,12371.0,591,3.8742857142857146,0
22,12372.0,794,3.001346153846154,0
23,12373.0,197,4.582142857142857,0
24,12374.0,342,4.21969696969697,0
25,12375.0,177,6.644444444444445,0
26,12377.0,944,2.718831168831169,0
27,12378.0,2529,2.9974429223744297,0
28,12379.0,406,2.84390243902439,0
29,12380.0,1126,3.3869523809523807,0
30,12381.0,783,4.582857142857143,0
31,12383.0,1529,3.0936000000000003,0
32,12384.0,121,7.575666666666667,0
33,12386.0,354,2.391,0
34,12388.0,1462,2.7777,0
35,12390.0,353,3.996875,0
36,12391.0,300,2.4599,0
37,12393.0,816,2.2796875,0
38,12394.0,819,3.3707407407407404,0
39,12395.0,2113,3.959685534591195,0
40,12397.0,1263,3.4682539682539684,0
41,12398.0,1394,1.992705882352941,0
42,12399.0,1178,2.1145762711864404,0
43,12401.0,11,9.68,0
44,12402.0,94,3.290909090909091,0
45,12403.0,95,8.9,0
46,12405.0,857,3.5442592592592597,0
47,12406.0,1809,2.8332407407407407,0
48,12407.0,1416,3.2674025974025973,0
49,12408.0,1399,3.128141592920354,0
50,12409.0,5543,3.526666666666667,0
51,12410.0,209,6.320357142857143,0
52,12412.0,829,2.7137704918032783,0
