invoicedate,quantity,unitprice,totalsales
2010-12-01,24032.0,3.1708434959349594,76201.71089430894
2010-12-02,20855.0,3.230127201565558,67364.30278864971
2010-12-03,11548.0,3.33408236347359,38501.98313339301
2010-12-04,,,
2010-12-05,16394.0,2.8964096916299558,47483.740484581496
2010-12-06,16095.0,3.0121175278622085,48480.03161094225
2010-12-07,19351.0,3.586098852603707,69394.59889673433
2010-12-08,21275.0,3.2660712518555175,69485.66588322613
2010-12-09,16904.0,3.254429198682766,55012.87117453347
2010-12-10,15388.0,3.123692201518288,48067.375596963415
2010-12-11,,,
2010-12-12,10561.0,2.7238812154696133,28766.909516574586
2010-12-13,15234.0,3.1567133956386293,48089.37186915888
2010-12-14,17108.0,2.9184080188679244,49928.12438679245
2010-12-15,18169.0,3.568691729323308,64839.56003007518
2010-12-16,29482.0,3.353024618991794,98853.87181711607
2010-12-17,10517.0,4.348714090287277,45735.4260875513
2010-12-18,,,
2010-12-19,3735.0,3.14714859437751,11754.6
2010-12-20,12617.0,3.24592552026287,40953.84228915663
2010-12-21,10888.0,4.066698564593302,44278.213971291865
2010-12-22,3053.0,2.936606334841629,8965.459140271492
2010-12-23,3156.0,3.0109631728045327,9502.599773371105
2010-12-24,,,
2010-12-25,,,
2010-12-26,,,
2010-12-27,,,
2010-12-28,,,
2010-12-29,,,
2010-12-30,,,
2010-12-31,,,
2011-01-01,,,
2011-01-02,,,
2011-01-03,,,
2011-01-04,6727.0,3.3934605263157898,22827.80896052632
2011-01-05,18155.0,3.1500805729632946,57189.71280214861
2011-01-06,21126.0,3.9271018867924528,82963.95446037735
2011-01-07,14437.0,2.860299727520436,41294.14716621253
2011-01-08,,,
2011-01-09,8181.0,3.173276633840645,25960.576141450314
2011-01-10,9363.0,3.9824906132665836,37288.05961201502
2011-01-11,25768.0,2.938560179977503,75720.8187176603
2011-01-12,7781.0,3.962389189189189,30831.350281081082
2011-01-13,8293.0,3.5051831750339217,29068.484070556315
2011-01-14,21050.0,2.8621787025703798,60248.861689106496
2011-01-15,,,
2011-01-16,4181.0,2.8707430340557276,12002.576625386997
2011-01-17,8662.0,3.18008281573499,27545.877349896484
2011-01-18,6382.0,3.204320297951583,20449.972141527003
2011-01-19,15786.0,2.6997703549060543,42618.57482254697
2011-01-20,8111.0,2.920239436619718,23686.062070422533
2011-01-21,12440.0,3.452312834224599,42946.77165775401
2011-01-22,,,
2011-01-23,5194.0,2.971513083048919,15434.038953356086
2011-01-24,9542.0,3.3239715394566622,31717.33642949547
2011-01-25,13698.0,3.2685691446842524,44772.86014388489
2011-01-26,10392.0,3.349482421875,34807.821328125
2011-01-27,10653.0,4.696377551020408,50030.51005102041
2011-01-28,8511.0,3.5159601706970127,29924.337012802276
2011-01-29,,,
2011-01-30,3367.0,3.2156786703601106,10827.190083102492
2011-01-31,11579.0,2.895569498069498,33527.79921814672
2011-02-01,14867.0,3.140039619651347,46682.96902535657
2011-02-02,8890.0,3.0158846918489064,26811.21491053678
2011-02-03,15370.0,3.422144522144522,52598.36130536131
2011-02-04,11236.0,3.7945822102425875,42635.92571428571
2011-02-05,,,
2011-02-06,2048.0,2.8654121863799284,5868.3641577060935
2011-02-07,8356.0,3.7013021363173957,30928.080651068158
2011-02-08,8645.0,2.9237129485179407,25275.498439937597
2011-02-09,6145.0,3.234145785876993,19873.825854214123
2011-02-10,11348.0,4.06335635359116,46110.96790055248
2011-02-11,9045.0,5.663306188925081,51224.60447882736
2011-02-12,,,
2011-02-13,2715.0,2.9797435897435895,8090.003846153845
2011-02-14,12281.0,3.3913573407202215,41649.259501385044
2011-02-15,22079.0,2.9839109848484853,65881.7706344697
2011-02-16,15602.0,2.9883912611717975,46624.880456802384
2011-02-17,12758.0,2.812453007518797,35881.27546992481
2011-02-18,8571.0,3.0564171974522294,26196.551799363056
2011-02-19,,,
2011-02-20,5346.0,3.1496412037037036,16837.981874999998
2011-02-21,20378.0,3.5985005170630817,73330.24353671148
